,Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating
0,Patton,Winner,1970,7.9,94.0,93.0
1,Airport,Nominee,1970,6.6,73.0,53.0
2,Five Easy Pieces,Nominee,1970,7.5,88.0,84.0
3,Love Story,Nominee,1970,6.9,68.0,75.0
4,M*A*S*H,Nominee,1970,7.5,87.0,83.0
5,The French Connection,Winner,1971,7.7,98.0,87.0
6,A Clockwork Orange,Nominee,1971,8.3,88.0,93.0
7,Fiddler on the Roof,Nominee,1971,8.0,83.0,92.0
8,The Last Picture Show,Nominee,1971,8.0,100.0,90.0
9,Nicholas and Alexandra,Nominee,1971,7.2,67.0,78.0
10,The Godfather,Winner,1972,9.2,98.0,98.0
11,Cabaret,Nominee,1972,7.8,93.0,87.0
12,Deliverance,Nominee,1972,7.7,89.0,82.0
13,The Emigrants,Nominee,1971,8.0,93.0,87.0
14,Sounder,Nominee,1972,7.6,90.0,77.0
15,The Sting,Winner,1973,8.3,94.0,95.0
16,American Graffiti,Nominee,1973,7.4,96.0,84.0
17,Cries and Whispers,Nominee,1972,8.1,90.0,91.0
18,The Exorcist,Nominee,1973,8.0,83.0,87.0
19,A Touch of Class,Nominee,1973,6.5,83.0,64.0
20,The Godfather Part II,Winner,1974,9.0,96.0,97.0
21,Chinatown,Nominee,1974,8.2,99.0,93.0
22,The Conversation,Nominee,1974,7.8,96.0,90.0
23,Lenny,Nominee,1974,7.6,88.0,88.0
24,The Towering Inferno,Nominee,1974,7.0,69.0,72.0
25,One Flew Over the Cuckoo's Nest,Winner,1975,8.7,94.0,96.0
26,Barry Lyndon,Nominee,1975,8.1,91.0,92.0
27,Dog Day Afternoon,Nominee,1975,8.0,96.0,90.0
28,Jaws,Nominee,1975,8.0,98.0,90.0
29,Nashville,Nominee,1975,7.7,90.0,84.0
30,Rocky,Winner,1976,8.1,94.0,69.0
31,All the President's Men,Nominee,1976,8.0,94.0,92.0
32,Bound for Glory,Nominee,1976,7.3,83.0,77.0
33,Network,Nominee,1976,8.1,91.0,93.0
34,Taxi Driver,Nominee,1976,8.2,96.0,93.0
35,Annie Hall,Winner,1977,8.0,98.0,92.0
36,The Goodbye Girl,Nominee,1977,7.4,84.0,84.0
37,Julia,Nominee,1977,7.2,74.0,70.0
38,Star Wars,Nominee,1977,8.6,92.0,96.0
39,The Turning Point,Nominee,1977,6.9,63.0,67.0
40,The Deer Hunter,Winner,1978,8.1,93.0,92.0
41,Coming Home,Nominee,1978,7.3,85.0,83.0
42,Heaven Can Wait,Nominee,1978,6.9,88.0,68.0
43,Midnight Express,Nominee,1978,7.6,96.0,89.0
44,An Unmarried Woman,Nominee,1978,7.2,90.0,73.0
45,Kramer vs. Kramer,Winner,1979,7.8,88.0,89.0
46,All That Jazz,Nominee,1979,7.9,87.0,86.0
47,Apocalypse Now,Nominee,1979,8.4,98.0,94.0
48,Breaking Away,Nominee,1979,7.7,95.0,88.0
49,Norma Rae,Nominee,1979,7.3,90.0,79.0
50,Ordinary People,Winner,1980,7.7,89.0,88.0
51,Coal Miner's Daughter,Nominee,1980,7.5,86.0,86.0
52,The Elephant Man,Nominee,1980,8.1,92.0,93.0
53,Raging Bull,Nominee,1980,8.2,93.0,93.0
54,Tess,Nominee,1980,7.3,81.0,78.0
55,Chariots of Fire,Winner,1981,7.2,82.0,80.0
56,Atlantic City,Nominee,1980,7.3,100.0,77.0
57,On Golden Pond,Nominee,1981,7.6,93.0,87.0
58,Raiders of the Lost Ark,Nominee,1981,8.4,95.0,96.0
59,Reds,Nominee,1981,7.6,90.0,82.0
60,Gandhi,Winner,1982,8.0,85.0,92.0
61,E.T. the Extra-Terrestrial,Nominee,1982,7.8,99.0,72.0
62,Missing,Nominee,1982,7.7,94.0,85.0
63,Tootsie,Nominee,1982,7.4,90.0,81.0
64,The Verdict,Nominee,1982,7.7,88.0,88.0
65,Terms of Endearment,Winner,1983,7.4,78.0,83.0
66,The Big Chill,Nominee,1983,7.2,68.0,77.0
67,The Dresser,Nominee,1983,7.6,100.0,87.0
68,The Right Stuff,Nominee,1983,7.8,96.0,90.0
69,Tender Mercies,Nominee,1983,7.4,84.0,82.0
70,Amadeus,Winner,1984,8.3,93.0,95.0
71,The Killing Fields,Nominee,1984,7.8,93.0,92.0
72,A Passage to India,Nominee,1984,7.3,76.0,78.0
73,Places in the Heart,Nominee,1984,7.4,89.0,83.0
74,A Soldier's Story,Nominee,1984,7.2,90.0,81.0
75,Out of Africa,Winner,1985,7.2,59.0,83.0
76,The Color Purple,Nominee,1985,7.8,81.0,94.0
77,Kiss of the Spider Woman,Nominee,1985,7.4,87.0,81.0
78,Prizzi's Honor,Nominee,1985,6.7,85.0,62.0
79,Witness,Nominee,1985,7.4,93.0,80.0
80,Platoon,Winner,1986,8.1,88.0,93.0
81,Children of a Lesser God,Nominee,1986,7.2,82.0,79.0
82,Hannah and Her Sisters,Nominee,1986,7.9,91.0,90.0
83,The Mission,Nominee,1986,7.4,64.0,87.0
84,A Room with a View,Nominee,1985,7.3,100.0,85.0
85,The Last Emperor,Winner,1987,7.7,89.0,88.0
86,Broadcast News,Nominee,1987,7.2,98.0,79.0
87,Fatal Attraction,Nominee,1987,6.9,76.0,72.0
88,Hope and Glory,Nominee,1987,7.3,95.0,82.0
89,Moonstruck,Nominee,1987,7.1,93.0,81.0
90,Rain Man,Winner,1988,8.0,89.0,90.0
91,The Accidental Tourist,Nominee,1988,6.8,81.0,60.0
92,Dangerous Liaisons,Nominee,1988,7.6,93.0,83.0
93,Mississippi Burning,Nominee,1988,7.8,84.0,90.0
94,Working Girl,Nominee,1988,6.8,84.0,67.0
95,Driving Miss Daisy,Winner,1989,7.4,82.0,81.0
96,Born on the Fourth of July,Nominee,1989,7.2,85.0,76.0
97,Dead Poets Society,Nominee,1989,8.1,84.0,92.0
98,Field of Dreams,Nominee,1989,7.5,87.0,86.0
99,My Left Foot,Nominee,1989,7.9,98.0,92.0
100,Dances with Wolves,Winner,1990,8.0,83.0,87.0
101,Awakenings,Nominee,1990,7.8,88.0,89.0
102,Ghost,Nominee,1990,7.1,74.0,80.0
103,The Godfather Part III,Nominee,1990,7.6,67.0,62.0
104,Goodfellas,Nominee,1990,8.7,96.0,97.0
105,The Silence of the Lambs,Winner,1991,8.6,96.0,95.0
106,Beauty and the Beast,Nominee,1991,8.0,94.0,92.0
107,Bugsy,Nominee,1991,6.8,85.0,69.0
108,JFK,Nominee,1991,8.0,84.0,88.0
