Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,Meta Critic,Meta User
Patton,Winner,1970,79,94,93,91,84
Airport,Nominee,1970,66,73,53,42,77
Five Easy Pieces,Nominee,1970,75,88,84,85,79
Love Story,Nominee,1970,69,68,75,84,75
M*A*S*H,Nominee,1970,75,87,83,80,73
The French Connection,Winner,1971,77,98,87,94,84
A Clockwork Orange,Nominee,1971,83,88,93,80,80
Fiddler on the Roof,Nominee,1971,80,83,92,67,84
The Last Picture Show,Nominee,1971,80,100,90,93,84
Nicholas and Alexandra,Nominee,1971,72,67,78,-5,-5
The Godfather,Winner,1972,92,98,98,100,92
Cabaret,Nominee,1972,78,93,87,80,82
Deliverance,Nominee,1972,77,89,82,82,77
The Emigrants,Nominee,1972,80,93,87,-5,-5
Sounder,Nominee,1972,76,90,77,80,-5
The Sting,Winner,1973,83,94,95,83,84
American Graffiti,Nominee,1973,74,96,84,97,81
Cries and Whispers,Nominee,1973,81,90,91,-5,-5
The Exorcist,Nominee,1973,80,83,87,81,87
A Touch of Class,Nominee,1973,65,83,64,-5,-5
The Godfather Part II,Winner,1974,90,96,97,90,91
Chinatown,Nominee,1974,82,99,93,92,89
The Conversation,Nominee,1974,78,96,90,85,85
Lenny,Nominee,1974,76,88,88,61,74
The Towering Inferno,Nominee,1974,70,69,72,69,75
One Flew Over the Cuckoo's Nest,Winner,1975,87,94,96,83,87
Barry Lyndon,Nominee,1975,81,91,92,89,91
Dog Day Afternoon,Nominee,1975,80,96,90,86,86
Jaws,Nominee,1975,80,98,90,87,88
Nashville,Nominee,1975,77,90,84,96,86
Rocky,Winner,1976,81,94,69,70,88
All the President's Men,Nominee,1976,80,94,92,80,83
Bound for Glory,Nominee,1976,73,83,77,70,-5
Network,Nominee,1976,81,91,93,83,88
Taxi Driver,Nominee,1976,82,96,93,94,73
Annie Hall,Winner,1977,80,98,92,92,81
The Goodbye Girl,Nominee,1977,74,84,84,64,71
Julia,Nominee,1977,72,74,70,62,84
Star Wars,Nominee,1977,86,92,96,90,88
The Turning Point,Nominee,1977,69,63,67,68,-5
The Deer Hunter,Winner,1978,81,93,92,86,75
Coming Home,Nominee,1978,73,85,83,81,72
Heaven Can Wait,Nominee,1978,69,88,68,72,79
Midnight Express,Nominee,1978,76,96,89,59,83
An Unmarried Woman,Nominee,1978,72,90,73,79,-5
Kramer vs. Kramer,Winner,1979,78,88,89,77,85
All That Jazz,Nominee,1979,79,87,86,72,79
Apocalypse Now,Nominee,1979,84,98,94,94,88
Breaking Away,Nominee,1979,77,95,88,91,88
Norma Rae,Nominee,1979,73,90,79,61,74
Ordinary People,Winner,1980,77,89,88,87,65
Coal Miner's Daughter,Nominee,1980,75,86,86,87,68
The Elephant Man,Nominee,1980,81,92,93,77,89
Raging Bull,Nominee,1980,82,93,93,89,69
Tess,Nominee,1980,73,81,78,82,89
Chariots of Fire,Winner,1981,72,82,80,78,69
