Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,Meta Critic,Meta User,MetaMixed,MetaPos,MetaNeg,Meta,UserMixed,UserPos,UserNeg,User
Dances with Wolves,Winner,1990,80,83,87,72,86,4,15,1,20,9,173,4,186
Awakenings,Nominee,1990,78,88,89,74,86,4,14,0,18,8,113,2,123
Ghost,Nominee,1990,71,74,80,52,87,10,5,2,17,21,152,5,178
The Godfather Part III,Nominee,1990,76,67,62,60,79,5,10,4,19,72,353,24,449
Goodfellas,Nominee,1990,87,96,97,89,89,1,17,0,18,23,868,36,927
The Silence of the Lambs,Winner,1991,86,96,95,85,88,2,17,0,19,18,597,13,628
Beauty and the Beast,Nominee,1991,80,94,92,95,85,5,1,4,22,5,12,6,219
Bugsy,Nominee,1991,68,85,69,80,72,2,25,0,27,1,7,1,9
JFK,Nominee,1991,80,84,88,72,84,5,22,2,29,5,72,2,79
The Prince of Tides,Nominee,1991,67,69,70,65,85,Name:,Name:,Name:,21,Name:,Name:,Name:,8
Unforgiven,Winner,1992,82,96,93,85,83,3,29,1,33,17,195,8,220
The Crying Game,Nominee,1992,73,94,78,90,77,1,21,0,22,10,52,4,66
A Few Good Men,Nominee,1992,77,83,89,62,79,6,12,3,21,17,124,2,143
Howards End,Nominee,1992,74,94,82,89,84,1,9,0,10,4,26,0,30
Scent of a Woman,Nominee,1992,80,89,92,59,87,5,7,2,14,17,184,6,207
Schindler's List,Winner,1993,89,97,97,94,87,1,25,0,26,67,959,51,1077
The Fugitive,Nominee,1993,78,96,89,87,88,1,31,0,32,9,242,5,256
In the Name of the Father,Nominee,1993,81,94,95,84,81,2,14,0,16,8,90,5,103
The Piano,Nominee,1993,76,92,86,89,80,0,19,1,20,10,88,6,104
The Remains of the Day,Nominee,1993,78,95,89,84,84,1,10,0,11,2,46,1,49
Forrest Gump,Winner,1994,88,71,95,82,77,2,18,0,20,37,"1,018",216,1271
Four Weddings and a Funeral,Nominee,1994,71,96,74,81,81,1,18,0,19,12,79,3,94
Pulp Fiction,Nominee,1994,89,92,96,94,91,1,23,0,24,64,"2,600",110,2774
Quiz Show,Nominee,1994,75,96,87,88,85,0,13,0,13,3,101,4,108
The Shawshank Redemption,Nominee,1994,93,91,98,80,89,2,18,0,20,24,"1,469",100,1593
Braveheart,Winner,1995,83,78,85,68,87,3,15,2,20,35,422,14,471
Apollo 13,Nominee,1995,76,96,87,77,80,5,17,0,22,18,164,4,186
