year,Critic,User,Winner,Mwin,Uwin
1996,0.025,0.025,The English Patient,0,0
1997,0.025,0.025,Titanic,0,0
1998,0.025,0.025,Shakespear in Love,0,0
1999,1,1,American Beauty,0,0
2000,1,2,Gladiator,0,1
2001,1,2,A Beautiful Mind,0,0
2002,1,2,Chicago,0,0
2003,2,3,The Lord of the Rings: The Return of the King,1,1
2004,2,3,Million Dollar Baby,0,1
2005,2,4,Crash,0,1
2006,2,4,The Departed,0,0
2007,2,4,No Country for Old Men,0,0
2008,3,5,Slumdog Millionaire,1,1
2009,4,5,The Hurt Locker,1,0
2010,4,5,The King's Speech,0,0
2011,5,6,The Artist,1,1
2012,5,6,Argo,0,0
2013,6,6,12 Years a Slave,1,0
2014,6,6,Birdman or (The Unexpected Virtue of Ignorance),0,0
2015,7,6,Spotlight,1,0
2016,8,6,Moonlight,1,0
2017,8,6,The Shape of Water,0,0
2018,8,6,Green Book,0,0
2019,9,6,Parasite,1,0
2020,10,6,Nomadland,1,0
2021,10,6,CODA,0,0
